code,zinryoku,zanyaku,haikyu,parts,time,level,selpm
53,800,400,400,0,240,40,3.33
2,550,0,0,250,180,45,3.06
21,100,0,0,30,40,5,2.5
31,50,0,75,0,20,12,2.5
61,300,300,0,100,120,35,2.5
43,800,550,0,0,360,40,2.22
14,160,160,0,0,120,6,1.33
3,900,900,900,250,720,45,1.25
64,800,800,800,0,720,45,1.11
44,400,400,400,150,480,40,0.83
11,10,30,15,0,15,1,0.67
22,60,200,80,0,90,5,0.67
13,30,0,30,10,60,5,0.5
54,100,0,0,700,420,40,0.24
23,10,10,10,230,240,10,0.04
62,0,200,550,100,180,40,0.0
63,0,0,200,500,300,45,0.0
52,0,600,300,0,150,35,0.0
51,0,0,100,45,30,30,0.0
1,0,145,145,0,50,40,0.0
42,0,0,0,210,120,35,0.0
41,0,185,185,0,60,30,0.0
34,0,0,300,300,300,25,0.0
32,0,120,70,30,45,20,0.0
24,0,250,600,60,360,15,0.0
12,0,40,60,0,30,1,0.0
4,0,1200,800,750,1440,50,0.0
33,0,300,0,0,90,15,0.0
